Filter 	PHOTPLAM 	PHOTBW 	ABMAG 	VEGAMAG 	STMAG 	ERROR 	PHOTFLAM 	ERR_PHOTFLAM
F200LP 	4971.86034 	1742.198 	27.336 	26.886 	27.126 	0.013 	5.1234E-20 	6.0032E-22
F218W 	2228.03909 	128.941 	22.937 	21.273 	20.984 	0.007 	1.4664E-17 	9.6609E-20
F225W 	2372.05309 	177.430 	24.063 	22.426 	22.247 	0.002 	4.5849E-18 	6.2529E-21
F275W 	2709.68900 	164.435 	24.157 	22.676 	22.629 	0.002 	3.2227E-18 	5.1180E-21
F280N 	2832.86234 	200.689 	20.918 	19.502 	19.487 	0.009 	5.8231E-17 	4.5543E-19
F300X 	2820.46916 	316.561 	24.964 	23.561 	23.523 	0.002 	1.4147E-18 	3.1311E-21
F336W 	3354.49182 	158.422 	24.691 	23.526 	23.627 	0.002 	1.2860E-18 	2.1606E-21
F343N 	3435.15136 	86.713 	23.887 	22.752 	22.875 	0.002 	2.5716E-18 	3.6774E-21
F350LP 	5873.87001 	1490.060 	26.965 	26.812 	27.117 	0.005 	5.1653E-20 	2.4005E-22
F373N 	3730.17013 	18.343 	21.908 	21.035 	21.074 	0.009 	1.3499E-17 	1.1206E-19
F390M 	3897.24421 	65.485 	23.622 	23.546 	22.883 	0.005 	2.5506E-18 	1.2257E-20
F390W 	3923.68652 	291.271 	25.373 	25.174 	24.649 	0.003 	5.0170E-19 	1.4587E-21
F395N 	3955.19180 	26.294 	22.668 	22.712 	21.962 	0.002 	5.9616E-18 	1.3191E-20
F410M 	4108.99063 	57.029 	23.596 	23.77 	22.973 	0.004 	2.3495E-18 	8.2162E-21
F438W 	4326.23284 	197.314 	24.837 	25.002 	24.325 	0.006 	6.7593E-19 	3.7819E-21
F467M 	4682.57689 	68.424 	23.694 	23.857 	23.354 	0.006 	1.6536E-18 	9.5492E-21
F469N 	4688.10245 	19.970 	21.816 	21.983 	21.479 	0.003 	9.2985E-18 	2.5187E-20
F475W 	4773.10164 	421.304 	25.704 	25.809 	25.406 	0.006 	2.4984E-19 	1.2504E-21
F475X 	4940.72439 	660.676 	26.156 	26.213 	25.933 	0.002 	1.5379E-19 	2.3980E-22
F487N 	4871.37603 	21.714 	22.227 	22.048 	21.973 	0.004 	5.8987E-18 	2.1052E-20
F502N 	5009.63789 	26.961 	22.326 	22.419 	22.133 	0.005 	5.0899E-18 	2.3595E-20
F547M 	5447.49630 	206.240 	24.755 	24.758 	24.744 	0.01 	4.5959E-19 	4.2627E-21
F555W 	5308.43054 	517.494 	25.81 	25.838 	25.743 	0.003 	1.8324E-19 	4.6668E-22
F600LP 	7468.11621 	945.889 	25.882 	25.549 	26.556 	0.007 	8.6611E-20 	5.5311E-22
F606W 	5889.16575 	657.199 	26.087 	26.004 	26.245 	0.013 	1.1529E-19 	1.3885E-21
F621M 	6218.85050 	185.655 	24.612 	24.462 	24.889 	0.007 	4.0217E-19 	2.5967E-21
F625W 	6242.56462 	451.277 	25.525 	25.374 	25.81 	0.009 	1.7225E-19 	1.4834E-21
F631N 	6304.29265 	41.598 	21.885 	21.723 	22.191 	0.011 	4.8259E-18 	5.0616E-20
F645N 	6453.58874 	41.453 	22.243 	22.048 	22.6 	0.004 	3.3101E-18 	1.1955E-20
F656N 	6561.36836 	41.768 	20.422 	19.84 	20.815 	0.039 	1.7137E-17 	5.9545E-19
F657N 	6566.62860 	41.006 	22.659 	22.332 	23.053 	0.004 	2.1815E-18 	8.7084E-21
F658N 	6584.02425 	148.711 	21.027 	20.672 	21.428 	0.018 	9.7468E-18 	1.5697E-19
F665N 	6655.87637 	42.191 	22.734 	22.49 	23.158 	0.01 	1.9808E-18 	1.7401E-20
F673N 	6765.93872 	41.943 	22.588 	22.342 	23.047 	0.007 	2.1931E-18 	1.3993E-20
F680N 	6877.59641 	112.013 	23.818 	23.555 	24.313 	0.014 	6.8336E-19 	8.9134E-21
F689M 	6876.75468 	207.613 	24.478 	24.195 	24.973 	0.003 	3.7238E-19 	9.6694E-22
F763M 	7614.37054 	229.425 	24.226 	23.837 	24.942 	0.007 	3.8296E-19 	2.3862E-21
F775W 	7651.36333 	419.719 	24.871 	24.48 	25.598 	0.005 	2.0930E-19 	9.1984E-22
F814W 	8039.05620 	666.760 	25.127 	24.699 	25.961 	0.008 	1.4980E-19 	1.0373E-21
F845M 	8439.05652 	260.304 	23.822 	23.315 	24.761 	0.009 	4.5246E-19 	3.8212E-21
F850LP 	9176.12607 	470.529 	23.856 	23.325 	24.977 	0.007 	3.7086E-19 	2.2782E-21
F953N 	9530.57882 	71.190 	20.425 	19.802 	21.629 	0.011 	8.1018E-18 	8.2727E-20
